,timestamps,delta_absolute_1,theta_absolute_1,alpha_absolute_1,beta_absolute_1,gamma_absolute_1,delta_absolute_2,theta_absolute_2,alpha_absolute_2,beta_absolute_2,gamma_absolute_2,delta_absolute_3,theta_absolute_3,alpha_absolute_3,beta_absolute_3,gamma_absolute_3,delta_absolute_4,theta_absolute_4,alpha_absolute_4,beta_absolute_4,gamma_absolute_4
0,1532387087.4566462,1.6878576665214264,1.2213642716201505,1.3735198845451992,2.1877405717553007,2.1998298543521573,1.2494397931235264,1.0481594818149127,1.0778152406689063,1.0616300787971944,0.6999011391294823,4.278631763027583,4.307586198459602,3.797876534465846,3.929019563935928,4.311306472627176,1.3035809916814356,1.1208326461529687,1.4307142021984007,2.003062513160917,2.4723289787195726
1,1532387087.530292,1.6030805057688091,1.2643246506187933,1.2993108932411848,2.124022412818399,2.1723195014813634,1.2460033963703339,1.0144175505659034,0.9336668052292291,1.0059612807664395,0.7022342633782811,4.458969606622951,4.261798994485942,3.6946473280554812,3.731032541629539,4.13415245823797,1.381213335775047,1.2280137058721134,1.4282330909039378,2.0858992824629827,2.4763297010029004
2,1532387087.619101,1.4916278936718932,1.284821376221646,1.1883836051555279,2.065036544045333,2.1204045323866314,1.2314702595119082,0.9271401377825164,0.7191105714522004,0.9405074961809792,0.67724001673576,4.599088045502505,4.2394689985065295,3.5456088440923974,3.4966641758150376,3.88696002510159,1.392006568242971,1.247999681494711,1.393332364289783,2.179099520309006,2.4321241133162914
3,1532387087.6890152,1.3944711712662434,1.2931945614847127,1.0580207057461193,2.0145579533103493,2.0626375444422647,1.1900233101411573,0.8055594349341616,0.4929707197775161,0.8576242445167899,0.6255563501179198,4.700375274727132,4.260797665590579,3.39813699545834,3.337399909585525,3.657866116108873,1.3368930074990086,1.1889188008424962,1.3044922482087133,2.2335836929322612,2.353557013692927
4,1532387087.784169,1.3196729400302303,1.297501243860054,0.8898889662267301,1.991888767651867,2.0069397892453336,1.1241543459746024,0.669421452324263,0.39900417881065114,0.7581698976543895,0.5836452151540669,4.786363533144668,4.223175494846587,3.2800171536838243,3.27556397313328,3.5580324514106176,1.2381147506526746,1.0880471150997326,1.1288591537141013,2.2366082453691436,2.262391714740759
5,1532387087.896105,1.261006164807425,1.3222322908005546,0.7534577833430569,2.0085151176131686,1.9582887240165272,1.039796240773763,0.689167051125337,0.5110947109508148,0.6460893906622656,0.618438144094168,4.822876553276638,4.231764449233516,3.2642427299235526,3.3160048076148922,3.5133285927366273,1.1242051536654012,1.0588707966793767,0.9231417411294132,2.213023285096146,2.1902638824565823
6,1532387087.9869368,1.1898599480820484,1.3255585889108474,0.7809067895816554,2.03722578553947,1.9151232304531023,0.9800553064485074,0.789789296254058,0.6983730610300355,0.5412514809936063,0.7052314488715236,4.779935907399691,4.222972357047055,3.4452260744459533,3.318537716706528,3.5390537406070606,1.0419616781181342,1.1211799781444687,0.7505589676410833,2.1961321147751764,2.163145530404698
7,1532387088.053857,1.0524067715914358,1.272631215678535,0.8880181696993443,2.051807613579835,1.879614708950377,0.9288509159267236,0.8892325419020132,0.8604687203920215,0.4775664817557319,0.7875386175010711,4.656797059422881,4.133720236122259,3.504125512874788,3.2848347145368653,3.574110205113587,1.0040749198112535,1.2026356015265873,0.7207149216134502,2.2042294406585703,2.1669630724489912
8,1532387088.1437151,0.9628515739137924,1.1577065246478324,1.0127625091310208,2.0625495004415466,1.8820967633902383,0.9058250141458667,0.9608932917622399,0.9694791232002198,0.476237641765613,0.8229350116161107,4.447496940170901,4.043355298780876,3.5513804041812214,3.207680129913287,3.5950239843039276,0.9917047806041446,1.2779062729635466,0.7538454830858838,2.211724617945404,2.183771020940131
9,1532387088.233647,1.0085220377242388,1.0115251545215853,1.0453610095238506,2.0964414857174,1.9259502965742612,0.8712438809323557,0.9628265802618277,1.011848456821037,0.5963604967114076,0.8162987612769544,4.125722542062763,3.940592366973841,3.5211252345589656,3.087450055356104,3.5567734738645553,1.013214749743847,1.364696373993728,0.7121883726516092,2.1896103628149652,2.1739102716803305
10,1532387088.305107,1.4966619136535393,1.1413814302539262,1.1041811096219356,2.16567830408491,2.0010136255345254,0.8336337788476258,0.9417528893501252,1.0104188959972877,0.7788502650264751,0.7815507570690806,3.6173811359956343,3.705899626469693,3.332970453012213,2.9319221737954324,3.443008775454775,1.2073347358447561,1.5259001779491237,0.6271510666201929,2.1301085124152586,2.128057018822147
11,1532387088.3820732,2.1233762463399692,1.6562254787575095,1.0066135124858866,2.2081737566471618,2.051092030802587,0.8095660276606323,0.8966703833293451,1.002971085865701,0.9480354218042627,0.7370316137834165,2.9714782006505205,3.4090137050581477,3.0681151055627844,2.7447537387925935,3.2323418668172867,1.517555401191443,1.7573794353493062,0.6345269646955662,2.053838977409547,2.056658299213833
12,1532387088.4927301,2.7009737644992993,2.394831143687164,1.1731303890830385,2.2318483778491207,2.071451508500208,0.8863434672223027,0.8569140926163207,1.0258584436137075,1.0511272382620491,0.6876664214640175,2.305563660043686,3.0447175333612133,2.6250825276440577,2.496140740631086,2.902642788699544,1.9029505060865692,2.0239611784097433,0.8784543765215772,1.9994071014202441,1.9858251750501108
13,1532387088.5860848,3.1638310208753526,2.914737241404482,1.4625483923934133,2.2212325799495076,2.0475772157508496,0.9750331362550354,0.8572503412596556,1.0691782069084783,1.0985113310846704,0.642313211592535,2.9427956313887824,3.038752387201481,2.224957432821693,2.253772642451595,2.4656070040409315,2.1613063875523366,2.2085093977885197,1.0750916571396683,1.966190725322462,1.9250914469297236
14,1532387088.6729689,3.494878901430975,3.2709378048918865,1.6450489113446096,2.2125576076051234,1.9852007241500176,0.9914243585075885,0.909403652243352,1.0966841106845024,1.1024193920750731,0.606217008970901,3.7554590706481132,3.660495081207881,2.4653278517669044,2.424150578085246,2.2194401302934943,2.3564859280804273,2.3392867378364635,1.2379556888605263,1.958871515077935,1.8686978462389618
15,1532387088.698077,3.7022870835627373,3.482113291424603,1.7806846132144503,2.223845134124068,1.8946547395709616,0.8986002135509832,0.9594237496223013,1.0855231949213113,1.0839951298732482,0.5966097917351653,4.2663019266661095,4.1197336965578515,2.8412965814009894,2.753162425531421,2.53509978337685,2.5054740631519423,2.3892706642672588,1.321602879467078,1.9540949695141865,1.797197576483181
16,1532387088.808089,3.8074251816283384,3.5735934930496867,1.8239632416073512,2.2358454097388734,1.806797891613365,0.6376599204711545,0.9552902961209765,1.0253405409272498,1.0678279097994987,0.6054263889178128,4.619446147210498,4.443369161659478,3.014287415717631,3.015282910703274,2.9021597569510673,2.5608670742920294,2.3364952046945455,1.3433120709313542,1.9500023456093956,1.7448475660124367
